"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1980",591.92,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1981",668.281,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1982",741.102,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1983",785.468,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1984",812.83,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1985",865.112,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1986",944.002,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1987",1008.809,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1988",1110.81,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1989",1202.655,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1990",1300.768,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1991",1419.765,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1992",1524.381,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1993",1582.319,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1994",1620.318,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1995",1669.283,"B"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1996",1767.341,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1997",1813.456,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1998",1880.752,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1999",2011.684,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2000",2297.099,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2001",2402.964,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2002",2644.145,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2003",2916.23,"B"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2004",3098.906,
